Item Name,Qty,Price (total) (USD),Item link,Notes
Hackpad Kit,1,$0.00(Covered by Hack Club),https://hackpad.hackclub.com/parts,Covered by HCB and has all main parts
M3x8 Screws,2,$6.86,https://www.amazon.com/Socket-Screws-Bolts-Thread-100pcs/dp/B07CMQ1SQH/ref=sr_1_3?crid=VVYY3SDQUKJB&dib=eyJ2IjoiMSJ9.SGxYf-1B50933TaQTSBU4y_qD3spdP_toC4gh2Mu4KqJoOHpu-6aUFiUWU9hoC38bEe4eCj1ZWkokOHLNaCkhdqUI0rI3Hlj_ZBfxtWPQxTjuq2oN2VOe8PzZTNN4Lgv-924_x8YFJan63PNrgooHMUAnAnPaJpuxdbbVVGPgg1bV69uxioL7S80geeHnMmT-y3nBqu84cgVqpZphBZHBSI5LhZf9gZpRh-jNr4Hbgk.hQuda0ReEwno7vFrkh8l2rSBXA6OpIOfRnqs0p7P2HM&dib_tag=se&keywords=m3x8mm+screws&qid=1787029966&refinements=p_85%3A2470955011&rps=1&sprefix=m3x8%2Caps%2C141&sr=8-3,I use these ones from goBILDA but any M3x8 screw will work just fine
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total Price (USD):,$6.86,,,
